Timestamp,Frame,X_min,Y_min,X_max,Y_max,Confidence,area
2025-04-08 19:59:36.053,21,125,46,636,479,0.95,221263,0.0,0.0,0,0
2025-04-08 19:59:36.227,22,127,47,637,479,0.95,220320,0.0,0.0,0,0
2025-04-08 19:59:36.416,23,129,50,637,479,0.95,217932,0.0,0.0,0,0
2025-04-08 19:59:36.617,24,117,30,633,479,0.96,231684,0.0,0.0,0,0
2025-04-08 19:59:36.794,25,107,6,639,478,0.95,251104,0.0,0.0,0,0
2025-04-08 19:59:36.969,26,114,0,639,479,0.96,251475,0.0,0.0,0,0
2025-04-08 19:59:37.137,27,134,1,639,479,0.96,241390,0.0,0.0,0,0
2025-04-08 19:59:37.311,28,147,0,639,479,0.96,235668,0.0,0.0,0,0
2025-04-08 19:59:37.484,29,153,0,638,479,0.96,232315,0.0,0.0,0,0
2025-04-08 19:59:37.666,30,144,0,638,478,0.96,236132,0.0,0.0,0,0
2025-04-08 19:59:37.836,31,142,1,639,478,0.96,237069,0.0,0.0,0,0
